"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
23062049,-179,9,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","1997-12-20","1997-12-21",4,1,1,,,,"7017:499","POLYGON((-179 9,-180 9,-180 10,-179 10,-179 9))"
23067224,-179,22,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-05-26","2000-05-26",1,1,1,,,,"7217:219","POLYGON((-179 21,-180 21,-180 22,-179 22,-179 21))"
23067233,-179,23,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-05-28","2000-06-04",6,1,1,,,,"7217:229","POLYGON((-179 22,-180 22,-180 23,-179 23,-179 22))"
23067245,-179,25,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-09-17","2000-09-17",1,1,1,,,,"7217:249","POLYGON((-179 24,-180 24,-180 25,-179 25,-179 24))"
23067296,-180,26,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-09-23","2000-09-23",1,1,1,,,,"7217:459","POLYGON((-179 25,-180 25,-180 26,-179 26,-179 25))"
23078892,-179,31,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2000-03-23","2010-02-20",5,2,1,,,,"7317:209","POLYGON((-179 30,-180 30,-180 31,-179 31,-179 30))"
23078952,-179,32,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-05-10","2010-03-05",33,3,1,,,,"7317:219","POLYGON((-179 31,-180 31,-180 32,-179 32,-179 31))"
23079058,-179,33,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-05-13","2013-03-14",41,9,1,,,,"7317:229","POLYGON((-179 32,-180 32,-180 33,-179 33,-179 32))"
23079170,-179,34,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-03-22","2013-03-03",59,14,1,,,,"7317:239","POLYGON((-179 33,-180 33,-180 34,-179 34,-179 33))"
23079378,-179,35,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-21","2013-02-08",155,15,1,,,,"7317:249","POLYGON((-179 34,-180 34,-180 35,-179 35,-179 34))"
23080139,-179,36,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-04-21","2013-06-29",182,16,1,,,,"7317:459","POLYGON((-179 35,-180 35,-180 36,-179 36,-179 35))"
23080364,-179,37,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-08-06","2013-06-25",82,13,1,,,,"7317:469","POLYGON((-179 36,-180 36,-180 37,-179 37,-179 36))"
23080483,-179,38,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-08-10","2012-11-24",82,17,1,,,,"7317:479","POLYGON((-179 37,-180 37,-180 38,-179 38,-179 37))"
23080580,-179,39,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2006-11-29","2012-11-07",27,7,1,,,,"7317:489","POLYGON((-179 38,-180 38,-180 39,-179 39,-179 38))"
23080644,-179,40,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2006-11-28","2012-07-10",15,5,1,,,,"7317:499","POLYGON((-179 39,-180 39,-180 40,-179 40,-179 39))"
23081990,-179,41,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2010-11-02","2010-12-06",23,1,1,,,,"7417:209","POLYGON((-179 40,-180 40,-180 41,-179 41,-179 40))"
23082065,-179,42,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2010-09-30","2012-09-26",27,7,1,,,,"7417:219","POLYGON((-179 41,-180 41,-180 42,-179 42,-179 41))"
23082140,-179,43,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2010-09-15","2012-09-22",36,4,1,,,,"7417:229","POLYGON((-179 42,-180 42,-180 43,-179 43,-179 42))"
23082160,-179,43,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2012-09-04","2012-09-05",9,1,1,,,,"7417:239","POLYGON((-179 43,-180 43,-180 44,-179 44,-179 43))"
23062047,-178,9,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","1997-12-17","1997-12-19",6,1,1,,,,"7017:498","POLYGON((-178 9,-179 9,-179 10,-178 10,-178 9))"
23067227,-178,23,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-05-23","2000-05-25",3,1,1,,,,"7217:228","POLYGON((-178 22,-179 22,-179 23,-178 23,-178 22))"
23067240,-178,24,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-05-18","2000-05-22",5,1,1,,,,"7217:238","POLYGON((-178 23,-179 23,-179 24,-178 24,-178 23))"
23067244,-178,25,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-05-16","2000-09-14",3,2,1,,,,"7217:248","POLYGON((-178 24,-179 24,-179 25,-178 25,-178 24))"
23067314,-178,30,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-05-04","1997-05-04",2,1,1,,,,"7217:498","POLYGON((-178 29,-179 29,-179 30,-178 30,-178 29))"
23078889,-178,31,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-03-19","2010-02-16",13,4,1,,,,"7317:208","POLYGON((-178 30,-179 30,-179 31,-178 31,-178 30))"
23078939,-178,32,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta;Lepidochelys olivacea","320","1997-03-14","2011-02-22",26,4,2,,,,"7317:218","POLYGON((-178 31,-179 31,-179 32,-178 32,-178 31))"
23079039,-178,33,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2000-11-24","2013-03-10",56,7,1,,,,"7317:228","POLYGON((-178 32,-179 32,-179 33,-178 33,-178 32))"
23079136,-178,34,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-04-13","2013-01-14",36,6,1,,,,"7317:238","POLYGON((-178 33,-179 33,-179 34,-178 34,-178 33))"
23079309,-178,35,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-19","2013-01-05",85,13,1,,,,"7317:248","POLYGON((-178 34,-179 34,-179 35,-178 35,-178 34))"
23080070,-178,36,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-08-02","2012-12-31",181,21,1,,,,"7317:458","POLYGON((-178 35,-179 35,-179 36,-178 36,-178 35))"
23080328,-178,37,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-08-03","2013-07-09",162,22,1,,,,"7317:468","POLYGON((-178 36,-179 36,-179 37,-178 37,-178 36))"
23080451,-178,38,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2009-11-29","2012-12-02",92,12,1,,,,"7317:478","POLYGON((-178 37,-179 37,-179 38,-178 38,-178 37))"
23080560,-178,39,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-06-20","2012-11-24",60,8,1,,,,"7317:488","POLYGON((-178 38,-179 38,-179 39,-178 39,-178 38))"
23080632,-178,40,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-14","2012-10-09",31,7,1,,,,"7317:498","POLYGON((-178 39,-179 39,-179 40,-178 40,-178 39))"
23081980,-178,41,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-26","2012-10-04",38,5,1,,,,"7417:208","POLYGON((-178 40,-179 40,-179 41,-178 41,-178 40))"
23082053,-178,42,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2010-10-04","2012-09-29",71,8,1,,,,"7417:218","POLYGON((-178 41,-179 41,-179 42,-178 42,-178 41))"
23082126,-178,43,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2010-09-21","2012-09-17",35,6,1,,,,"7417:228","POLYGON((-178 42,-179 42,-179 43,-178 43,-178 42))"
23082158,-178,44,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2012-08-31","2012-09-19",24,3,1,,,,"7417:238","POLYGON((-178 43,-179 43,-179 44,-178 44,-178 43))"
23062044,-177,10,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","1997-12-16","1997-12-17",3,1,1,,,,"7017:497","POLYGON((-177 9,-178 9,-178 10,-177 10,-177 9))"
23067242,-177,25,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-05-14","2000-05-16",2,1,1,,,,"7217:247","POLYGON((-177 24,-178 24,-178 25,-177 25,-177 24))"
23067295,-178,25,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-05-13","2000-05-15",2,1,1,,,,"7217:457","POLYGON((-177 25,-178 25,-178 26,-177 26,-177 25))"
23067313,-177,30,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-04-28","1997-05-03",15,1,1,,,,"7217:497","POLYGON((-177 29,-178 29,-178 30,-177 30,-177 29))"
23078927,-177,32,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta;Lepidochelys olivacea","320","1997-03-11","2011-02-13",10,4,2,,,,"7317:217","POLYGON((-177 31,-178 31,-178 32,-177 32,-177 31))"
23079019,-177,33,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-05-29","2011-05-16",50,6,1,,,,"7317:227","POLYGON((-177 32,-178 32,-178 33,-177 33,-177 32))"
23079112,-177,34,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2000-11-22","2011-04-19",35,8,1,,,,"7317:237","POLYGON((-177 33,-178 33,-178 34,-177 34,-177 33))"
23079269,-177,35,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-18","2012-05-05",45,12,1,,,,"7317:247","POLYGON((-177 34,-178 34,-178 35,-177 35,-177 34))"
23079999,-177,36,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-27","2012-12-26",122,15,1,,,,"7317:457","POLYGON((-177 35,-178 35,-178 36,-177 36,-177 35))"
23080253,-177,37,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-29","2012-12-07",130,23,1,,,,"7317:467","POLYGON((-177 36,-178 36,-178 37,-177 37,-177 36))"
23080423,-177,38,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-06-27","2012-11-20",66,11,1,,,,"7317:477","POLYGON((-177 37,-178 37,-178 38,-177 38,-177 37))"
23080533,-177,39,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-06-29","2012-06-21",47,6,1,,,,"7317:487","POLYGON((-177 38,-178 38,-178 39,-177 39,-177 38))"
23080618,-177,40,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-01","2012-07-27",53,7,1,,,,"7317:497","POLYGON((-177 39,-178 39,-178 40,-177 40,-177 39))"
23081964,-177,41,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-24","2012-08-31",38,9,1,,,,"7417:207","POLYGON((-177 40,-178 40,-178 41,-177 41,-177 40))"
23082033,-177,42,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-08-09","2012-09-17",45,7,1,,,,"7417:217","POLYGON((-177 41,-178 41,-178 42,-177 42,-177 41))"
23082112,-177,43,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2010-09-24","2012-09-24",46,6,1,,,,"7417:227","POLYGON((-177 42,-178 42,-178 43,-177 43,-177 42))"
23082152,-178,44,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2012-09-04","2012-09-14",7,2,1,,,,"7417:237","POLYGON((-177 43,-178 43,-178 44,-177 44,-177 43))"
23082161,-178,44,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2012-09-13","2012-09-13",3,1,1,,,,"7417:247","POLYGON((-177 44,-178 44,-178 45,-177 45,-177 44))"
25878180,-177,-43,"Aub Strydom","Chelonia mydas","2253","2023-04-08","2023-04-08",1,1,1,,,,"5417:236","POLYGON((-176 -43,-176 -44,-177 -44,-177 -43,-176 -43))"
23062411,-177,10,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","1997-12-13","1997-12-14",4,1,1,,,,"7117:206","POLYGON((-176 10,-177 10,-177 11,-176 11,-176 10))"
23067236,-176,23,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-09-08","2000-09-09",4,1,1,,,,"7217:236","POLYGON((-176 23,-177 23,-177 24,-176 24,-176 23))"
23067307,-176,30,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-04-20","1997-04-27",19,1,1,,,,"7217:496","POLYGON((-176 29,-177 29,-177 30,-176 30,-176 29))"
23078882,-176,31,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-06-19","2008-06-19",1,1,1,,,,"7317:206","POLYGON((-176 30,-177 30,-177 31,-176 31,-176 30))"
23078920,-176,32,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-03-07","2010-05-05",24,4,1,,,,"7317:216","POLYGON((-176 31,-177 31,-177 32,-176 32,-176 31))"
23078994,-176,33,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2006-12-27","2011-03-17",36,5,1,,,,"7317:226","POLYGON((-176 32,-177 32,-177 33,-176 33,-176 32))"
23079093,-176,34,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-15","2012-04-20",40,8,1,,,,"7317:236","POLYGON((-176 33,-177 33,-177 34,-176 34,-176 33))"
23079247,-176,35,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-16","2012-05-01",65,9,1,,,,"7317:246","POLYGON((-176 34,-177 34,-177 35,-176 35,-176 34))"
23079949,-176,36,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-26","2013-03-16",36,9,1,,,,"7317:456","POLYGON((-176 35,-177 35,-177 36,-176 36,-176 35))"
23080194,-176,37,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-05-07","2012-12-13",70,13,1,,,,"7317:466","POLYGON((-176 36,-177 36,-177 37,-176 37,-176 36))"
23080399,-176,38,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-06-29","2012-11-30",44,7,1,,,,"7317:476","POLYGON((-176 37,-177 37,-177 38,-176 38,-176 37))"
23080507,-176,39,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-03","2012-07-21",52,2,1,,,,"7317:486","POLYGON((-176 38,-177 38,-177 39,-176 39,-176 38))"
23080601,-176,40,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-06-22","2012-07-25",77,6,1,,,,"7317:496","POLYGON((-176 39,-177 39,-177 40,-176 40,-176 39))"
23081951,-176,41,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-10","2012-08-28",63,11,1,,,,"7417:206","POLYGON((-176 40,-177 40,-177 41,-176 41,-176 40))"
23082016,-176,42,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-27","2012-08-28",31,5,1,,,,"7417:216","POLYGON((-176 41,-177 41,-177 42,-176 42,-176 41))"
23082094,-176,43,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-08-14","2012-09-06",26,6,1,,,,"7417:226","POLYGON((-176 42,-177 42,-177 43,-176 43,-176 42))"
23082150,-176,44,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-08-22","2012-09-09",17,4,1,,,,"7417:236","POLYGON((-176 43,-177 43,-177 44,-176 44,-176 43))"
23062414,-175,12,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","1997-12-08","1997-12-10",5,1,1,,,,"7117:215","POLYGON((-175 11,-176 11,-176 12,-175 12,-175 11))"
23062415,-175,12,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","1997-12-08","1997-12-08",1,1,1,,,,"7117:225","POLYGON((-175 12,-176 12,-176 13,-175 13,-175 12))"
23067234,-176,24,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-09-05","2000-09-05",1,1,1,,,,"7217:235","POLYGON((-175 23,-176 23,-176 24,-175 24,-175 23))"
23067293,-175,26,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-05-07","2000-05-09",2,1,1,,,,"7217:455","POLYGON((-175 25,-176 25,-176 26,-175 26,-175 25))"
23067300,-175,30,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-04-18","1997-04-21",8,1,1,,,,"7217:495","POLYGON((-175 29,-176 29,-176 30,-175 30,-175 29))"
23078881,-175,31,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta;Lepidochelys olivacea","320","1997-03-03","2010-03-25",18,3,2,,,,"7317:205","POLYGON((-175 30,-176 30,-176 31,-175 31,-175 30))"
23078908,-175,32,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-03-04","2013-05-20",28,6,1,,,,"7317:215","POLYGON((-175 31,-176 31,-176 32,-175 32,-175 31))"
23078973,-175,33,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2006-12-30","2013-05-30",42,7,1,,,,"7317:225","POLYGON((-175 32,-176 32,-176 33,-175 33,-175 32))"
23079073,-175,34,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-12","2013-06-07",38,5,1,,,,"7317:235","POLYGON((-175 33,-176 33,-176 34,-175 34,-175 33))"
23079215,-175,35,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-21","2013-01-12",100,12,1,,,,"7317:245","POLYGON((-175 34,-176 34,-176 35,-175 35,-175 34))"
23079931,-175,36,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-05-15","2013-06-27",36,11,1,,,,"7317:455","POLYGON((-175 35,-176 35,-176 36,-175 36,-175 35))"
23080162,-175,37,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-05-12","2012-07-15",55,9,1,,,,"7317:465","POLYGON((-175 36,-176 36,-176 37,-175 37,-175 36))"
23080383,-175,38,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-05-25","2012-12-18",47,10,1,,,,"7317:475","POLYGON((-175 37,-176 37,-176 38,-175 38,-175 37))"
23080492,-175,39,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2011-05-09","2012-12-23",25,5,1,,,,"7317:485","POLYGON((-175 38,-176 38,-176 39,-175 39,-175 38))"
23080586,-175,40,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-06-24","2012-07-25",20,5,1,,,,"7317:495","POLYGON((-175 39,-176 39,-176 40,-175 40,-175 39))"
23081929,-175,41,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-14","2012-08-03",33,8,1,,,,"7417:205","POLYGON((-175 40,-176 40,-176 41,-175 41,-175 40))"
23082005,-175,42,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-16","2012-08-08",29,8,1,,,,"7417:215","POLYGON((-175 41,-176 41,-176 42,-175 42,-175 41))"
23082082,-175,43,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-31","2012-09-03",36,6,1,,,,"7417:225","POLYGON((-175 42,-176 42,-176 43,-175 43,-175 42))"
23082144,-175,43,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2012-08-23","2012-09-04",12,2,1,,,,"7417:235","POLYGON((-175 43,-176 43,-176 44,-175 44,-175 43))"
23062402,-174,13,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","1997-12-04","1997-12-04",1,1,1,,,,"7117:124","POLYGON((-174 12,-175 12,-175 13,-174 13,-174 12))"
23067264,-174,26,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-05-02","2000-05-07",10,1,1,,,,"7217:354","POLYGON((-174 25,-175 25,-175 26,-174 26,-174 25))"
23067265,-174,26,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-05-03","2000-05-03",1,1,1,,,,"7217:364","POLYGON((-174 26,-175 26,-175 27,-174 27,-174 26))"
23067266,-174,29,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","1999-06-18","1999-06-18",1,1,1,,,,"7217:384","POLYGON((-174 28,-175 28,-175 29,-174 29,-174 28))"
23067291,-174,30,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta;Lepidochelys olivacea","320","1999-06-18","2010-03-22",4,2,2,,,,"7217:394","POLYGON((-174 29,-175 29,-175 30,-174 30,-174 29))"
23078436,-174,31,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-02-27","2013-05-03",30,6,1,,,,"7317:104","POLYGON((-174 30,-175 30,-175 31,-174 31,-174 30))"
23078529,-174,32,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2000-03-03","2013-05-11",50,6,1,,,,"7317:114","POLYGON((-174 31,-175 31,-175 32,-174 32,-174 31))"
23078623,-174,33,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2006-12-31","2013-04-20",59,7,1,,,,"7317:124","POLYGON((-174 32,-175 32,-175 33,-174 33,-174 32))"
23078732,-174,34,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-05","2013-06-15",72,9,1,,,,"7317:134","POLYGON((-174 33,-175 33,-175 34,-174 34,-174 33))"
23078876,-174,35,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-12","2013-06-23",84,12,1,,,,"7317:144","POLYGON((-174 34,-175 34,-175 35,-174 35,-174 34))"
23079556,-174,36,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-07-12","2013-06-27",125,14,1,,,,"7317:354","POLYGON((-174 35,-175 35,-175 36,-174 36,-174 35))"
23079669,-174,37,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1998-11-07","2013-07-01",64,10,1,,,,"7317:364","POLYGON((-174 36,-175 36,-175 37,-174 37,-174 36))"
23079759,-174,38,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1998-11-04","2013-05-18",70,8,1,,,,"7317:374","POLYGON((-174 37,-175 37,-175 38,-174 38,-174 37))"
23079827,-174,39,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-07","2012-06-17",32,4,1,,,,"7317:384","POLYGON((-174 38,-175 38,-175 39,-174 39,-174 38))"
23079912,-174,40,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-06-27","2011-05-15",17,4,1,,,,"7317:394","POLYGON((-174 39,-175 39,-175 40,-174 40,-174 39))"
23081756,-174,41,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-08-26","2012-07-31",30,6,1,,,,"7417:104","POLYGON((-174 40,-175 40,-175 41,-174 41,-174 40))"
23081806,-174,42,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-07-20","2012-08-25",56,8,1,,,,"7417:114","POLYGON((-174 41,-175 41,-175 42,-174 42,-174 41))"
23081853,-174,43,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-08-03","2012-08-30",47,9,1,,,,"7417:124","POLYGON((-174 42,-175 42,-175 43,-174 43,-174 42))"
23081897,-174,44,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-08-04","2012-08-15",12,2,1,,,,"7417:134","POLYGON((-174 43,-175 43,-175 44,-174 44,-174 43))"
23081915,-174,44,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2008-08-13","2008-08-15",4,1,1,,,,"7417:144","POLYGON((-174 44,-175 44,-175 45,-174 45,-174 44))"
23062405,-174,14,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","1997-12-01","1997-12-01",1,1,1,,,,"7117:133","POLYGON((-173 13,-174 13,-174 14,-173 14,-173 13))"
23067221,-174,24,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-08-31","2000-08-31",1,1,1,,,,"7217:133","POLYGON((-173 23,-174 23,-174 24,-173 24,-173 23))"
23067258,-173,26,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Lepidochelys olivacea","320","2000-04-25","2000-05-02",28,1,1,,,,"7217:353","POLYGON((-173 25,-174 25,-174 26,-173 26,-173 25))"
23078424,-173,31,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","1997-02-24","2013-04-30",31,6,1,,,,"7317:103","POLYGON((-173 30,-174 30,-174 31,-173 31,-173 30))"
23078496,-173,32,"NOAA Pacific Islands Fisheries Science Center (PIFSC)","Caretta caretta","320","2000-02-22","2013-04-22",34,4,1,,,,"7317:113","POLYGON((-173 31,-174 31,-174 32,-173 32,-173 31))"
